iter	Passed	Remaining
463	10024	11579
464	10051	11564
465	10078	11549
466	10104	11532
467	10128	11514
468	10155	11497
469	10181	11481
470	10211	11468
471	10239	11454
472	10261	11432
473	10281	11409
474	10301	11386
475	10322	11363
476	10343	11341
477	10364	11318
478	10385	11296
479	10405	11272
480	10427	11251
481	10448	11228
482	10469	11206
483	10491	11185
484	10514	11164
485	10536	11143
486	10561	11125
487	10582	11103
488	10606	11084
489	10629	11062
490	10651	11042
491	10673	11020
492	10696	10999
493	10718	10979
494	10741	10958
495	10768	10942
496	10793	10923
497	10819	10906
498	10845	10889
499	10868	10868
500	10891	10847
501	10915	10828
502	10937	10807
503	10960	10786
504	10988	10771
505	11013	10752
506	11037	10733
507	11061	10713
508	11086	10694
509	11110	10674
510	11134	10655
511	11157	10634
512	11180	10613
513	11204	10594
514	11228	10573
515	11248	10551
516	11269	10528
517	11289	10504
518	11310	10481
519	11332	10460
520	11351	10436
521	11372	10413
522	11390	10388
523	11411	10366
524	11432	10343
525	11451	10319
526	11472	10297
527	11492	10273
528	11514	10252
529	11536	10230
530	11557	10207
531	11578	10185
532	11597	10161
533	11617	10138
534	11638	10115
535	11657	10091
536	11678	10069
537	11699	10046
538	11721	10025
539	11743	10003
540	11763	9980
541	11785	9958
542	11804	9935
543	11825	9912
544	11845	9889
545	11865	9866
546	11886	9843
547	11911	9824
548	11933	9803
549	11954	9780
550	11974	9758
551	11995	9735
552	12016	9713
553	12037	9691
554	12058	9668
555	12079	9645
556	12099	9623
557	12121	9601
558	12142	9579
559	12161	9555
560	12183	9533
561	12204	9511
562	12223	9487
563	12244	9465
564	12265	9443
565	12285	9420
566	12305	9397
567	12326	9374
568	12345	9351
569	12366	9329
570	12388	9307
571	12409	9285
572	12430	9263
573	12450	9240
574	12470	9217
575	12491	9195
576	12512	9172
577	12531	9148
578	12550	9126
579	12573	9104
580	12593	9082
581	12615	9060
582	12634	9037
583	12654	9014
584	12674	8991
585	12696	8970
586	12716	8947
587	12737	8924
588	12757	8902
589	12777	8879
590	12803	8860
591	12824	8838
592	12844	8815
593	12864	8793
594	12885	8770
595	12907	8749
596	12927	8726
597	12948	8704
598	12970	8683
599	12991	8660
600	13013	8639
601	13034	8617
602	13055	8595
603	13075	8572
604	13095	8550
605	13116	8528
606	13136	8505
607	13156	8482
608	13178	8461
609	13198	8438
610	13218	8415
611	13239	8393
612	13258	8370
613	13279	8348
614	13300	8326
615	13321	8304
616	13342	8282
617	13364	8260
618	13382	8237
619	13403	8214
620	13424	8193
621	13446	8171
622	13468	8150
623	13488	8127
624	13509	8105
625	13530	8083
626	13549	8060
627	13570	8038
628	13590	8015
629	13611	7994
630	13632	7971
631	13653	7949
632	13673	7927
633	13693	7905
634	13713	7882
635	13736	7861
636	13756	7839
637	13776	7816
638	13796	7794
639	13818	7772
640	13839	7750
641	13860	7728
642	13880	7706
643	13904	7686
644	13926	7664
645	13947	7642
646	13967	7620
647	13987	7598
648	14008	7576
649	14028	7553
650	14049	7532
651	14070	7509
652	14091	7488
653	14112	7466
654	14133	7444
655	14156	7423
656	14178	7401
657	14196	7378
658	14217	7357
659	14238	7334
660	14258	7312
661	14278	7290
662	14299	7268
663	14320	7246
664	14340	7224
665	14360	7202
666	14382	7180
667	14402	7158
668	14424	7136
669	14444	7114
670	14466	7093
671	14486	7070
672	14507	7048
673	14527	7026
674	14546	7003
675	14565	6981
676	14586	6959
677	14607	6937
678	14629	6916
679	14650	6894
680	14671	6872
681	14692	6850
682	14712	6828
683	14732	6806
684	14752	6784
685	14772	6761
686	14793	6739
687	14813	6717
688	14833	6695
689	14853	6673
690	14876	6652
691	14901	6632
692	14921	6610
693	14942	6588
694	14962	6566
695	14983	6544
696	15004	6522
697	15026	6501
698	15046	6479
699	15066	6457
700	15088	6435
701	15109	6414
702	15129	6391
703	15149	6369
704	15170	6348
705	15191	6326
706	15212	6304
707	15233	6282
708	15254	6261
709	15277	6239
710	15297	6218
711	15320	6196
712	15341	6175
713	15365	6154
714	15388	6133
715	15411	6112
716	15434	6091
717	15457	6071
718	15481	6050
719	15503	6029
720	15532	6010
721	15555	5989
722	15578	5968
723	15603	5948
724	15628	5927
725	15654	5908
726	15679	5888
727	15704	5867
728	15725	5845
729	15749	5825
730	15774	5804
731	15795	5783
732	15817	5761
733	15838	5739
734	15861	5718
735	15883	5697
736	15904	5675
737	15925	5653
738	15946	5632
739	15969	5610
740	15991	5589
741	16012	5567
742	16032	5545
743	16053	5523
744	16074	5501
745	16094	5479
746	16116	5458
747	16138	5436
748	16157	5414
749	16177	5392
750	16198	5370
751	16219	5349
752	16239	5326
753	16260	5305
754	16281	5283
755	16302	5261
756	16321	5239
757	16341	5217
758	16362	5195
759	16384	5174
760	16404	5152
761	16425	5130
762	16447	5108
763	16469	5087
764	16490	5065
765	16510	5043
766	16530	5021
767	16550	4999
768	16569	4977
769	16589	4955
770	16608	4932
771	16628	4911
772	16650	4889
773	16672	4868
774	16692	4846
775	16713	4824
776	16732	4802
777	16754	4780
778	16774	4758
779	16796	4737
780	16817	4715
781	16837	4693
782	16858	4672
783	16882	4651
784	16904	4629
785	16928	4608
786	16952	4588
787	16974	4566
788	16997	4545
789	17020	4524
790	17043	4503
791	17066	4482
792	17089	4460
793	17111	4439
794	17134	4418
795	17157	4397
796	17180	4376
797	17204	4355
798	17227	4333
799	17248	4312
800	17268	4290
801	17290	4268
802	17311	4247
803	17330	4224
804	17352	4203
805	17371	4181
806	17394	4159
807	17428	4141
808	17468	4124
809	17489	4102
810	17510	4080
811	17530	4058
812	17552	4037
813	17576	4016
814	17598	3994
815	17620	3973
816	17642	3951
817	17663	3930
818	17683	3908
819	17704	3886
820	17726	3864
821	17747	3843
822	17767	3821
823	17787	3799
824	17807	3777
825	17828	3755
826	17848	3733
827	17869	3711
828	17888	3689
829	17910	3668
830	17931	3646
831	17952	3625
832	17972	3603
833	17994	3581
834	18014	3559
835	18036	3538
836	18057	3516
837	18078	3494
838	18099	3473
839	18119	3451
840	18141	3429
841	18162	3408
842	18181	3386
843	18202	3364
844	18223	3342
845	18246	3321
846	18267	3299
847	18288	3278
848	18309	3256
849	18333	3235
850	18358	3214
851	18387	3194
852	18414	3173
853	18441	3152
854	18466	3131
855	18490	3110
856	18513	3089
857	18540	3068
858	18564	3047
859	18585	3025
860	18606	3003
861	18626	2981
862	18647	2960
863	18668	2938
864	18688	2916
865	18709	2895
866	18729	2873
867	18748	2851
868	18768	2829
869	18789	2807
870	18810	2785
871	18831	2764
872	18855	2742
873	18882	2722
874	18908	2701
875	18932	2679
876	18956	2658
877	18980	2637
878	19004	2616
879	19027	2594
880	19051	2573
881	19077	2552
882	19103	2531
883	19126	2509
884	19152	2488
885	19176	2467
886	19202	2446
887	19225	2424
888	19249	2403
889	19273	2382
890	19296	2360
891	19322	2339
892	19345	2318
893	19370	2296
894	19395	2275
895	19419	2254
896	19444	2232
897	19469	2211
898	19495	2190
899	19518	2168
900	19541	2147
901	19563	2125
902	19587	2104
903	19610	2082
904	19633	2060
905	19656	2039
906	19679	2017
907	19702	1996
908	19730	1975
909	19753	1953
910	19775	1932
911	19798	1910
912	19820	1888
913	19842	1867
914	19867	1845
915	19888	1823
916	19911	1802
917	19932	1780
918	19956	1758
919	19978	1737
920	20000	1715
921	20022	1693
922	20044	1672
923	20065	1650
924	20085	1628
925	20108	1606
926	20128	1585
927	20148	1563
928	20168	1541
929	20188	1519
930	20209	1497
931	20229	1476
932	20251	1454
933	20270	1432
934	20291	1410
935	20313	1388
936	20335	1367
937	20357	1345
938	20379	1323
939	20402	1302
940	20427	1280
941	20450	1259
942	20474	1237
943	20501	1216
944	20526	1194
945	20551	1173
946	20579	1151
947	20602	1130
948	20625	1108
949	20647	1086
950	20669	1064
951	20691	1043
952	20713	1021
953	20737	999
954	20757	978
955	20778	956
956	20799	934
957	20820	912
958	20839	890
959	20862	869
960	20885	847
961	20909	825
962	20936	804
963	20962	782
964	20983	761
965	21005	739
966	21028	717
967	21051	695
968	21074	674
969	21095	652
970	21117	630
971	21140	608
972	21163	587
973	21185	565
974	21208	543
975	21229	522
976	21253	500
977	21273	478
978	21295	456
979	21317	435
980	21341	413
981	21363	391
982	21386	369
983	21409	348
984	21431	326
985	21451	304
986	21474	282
987	21498	261
988	21518	239
989	21539	217
990	21560	195
991	21582	174
992	21604	152
993	21627	130
994	21648	108
995	21670	87
996	21692	65
997	21712	43
998	21734	21
999	21753	0
