iter	Accuracy	Logloss
310	0.8347931139	0.3544239285
311	0.8347931139	0.3542666552
312	0.8346421021	0.3541146167
313	0.8346421021	0.3540557725
314	0.8350951374	0.3538617093
315	0.8350951374	0.353853095
316	0.8350951374	0.3534220015
317	0.8346421021	0.3532832735
318	0.8346421021	0.3532328892
319	0.8347931139	0.3531926093
320	0.8349441256	0.3531656365
321	0.8346421021	0.3528326826
322	0.8346421021	0.3527182507
323	0.8349441256	0.3525595536
324	0.8344910903	0.3524472655
325	0.8346421021	0.3520361055
326	0.8349441256	0.3519455369
327	0.8350951374	0.3518524728
328	0.8350951374	0.3516697229
329	0.8349441256	0.3514362835
330	0.8349441256	0.3514204273
331	0.8352461492	0.3512638564
332	0.835397161	0.351090418
333	0.835397161	0.3510776325
334	0.835397161	0.3509563774
335	0.835397161	0.3509329502
336	0.835397161	0.3508053512
337	0.8355481728	0.3505032073
338	0.8363032317	0.3501779471
339	0.8360012081	0.349937029
340	0.8363032317	0.3497891214
341	0.8363032317	0.349677297
342	0.8366052552	0.3495495589
343	0.8364542434	0.3494181907
344	0.8369072788	0.3492697097
345	0.8379643612	0.3491327206
346	0.8379643612	0.3491202716
347	0.8379643612	0.349118005
348	0.8379643612	0.348986784
349	0.8379643612	0.3489062507
350	0.8384173966	0.3487262186
351	0.838115373	0.3485756057
352	0.838115373	0.3485192057
353	0.8382663848	0.3483726812
354	0.8382663848	0.3482114456
355	0.8385684083	0.3480774729
356	0.8385684083	0.3479819391
357	0.8387194201	0.3476156402
358	0.8388704319	0.3475357052
359	0.8388704319	0.3474222802
360	0.8388704319	0.3473862765
361	0.8390214437	0.3473267511
362	0.8387194201	0.3472375925
363	0.8387194201	0.3471374552
364	0.8391724555	0.3470790773
365	0.8390214437	0.3470687486
366	0.8393234672	0.34693672
367	0.8393234672	0.3468855154
368	0.8393234672	0.3467627784
369	0.8387194201	0.3464456916
370	0.8393234672	0.3462277712
371	0.8391724555	0.3460833716
372	0.8391724555	0.3458764876
373	0.8391724555	0.3457952895
374	0.839474479	0.3457141501
375	0.8396254908	0.3455929364
376	0.8403805497	0.3452659027
377	0.8397765026	0.3451749325
378	0.8397765026	0.3451268038
379	0.8399275143	0.3450729205
380	0.8397765026	0.3450615554
381	0.8390214437	0.345051118
382	0.8385684083	0.3448500727
383	0.8385684083	0.3447848762
384	0.8400785261	0.3444804495
385	0.8399275143	0.3444130757
386	0.8396254908	0.3442389916
387	0.8396254908	0.3441716978
388	0.839474479	0.3440789356
389	0.8396254908	0.3440624162
390	0.8396254908	0.3439938238
391	0.8396254908	0.3438390886
392	0.8397765026	0.3434624154
393	0.8396254908	0.3433920926
394	0.8397765026	0.3432170723
395	0.8397765026	0.3429442972
396	0.8400785261	0.3427800548
397	0.8399275143	0.3425968305
398	0.8400785261	0.3425403021
399	0.840833585	0.342327277
400	0.8406825732	0.3423103889
401	0.8406825732	0.3422935339
402	0.840833585	0.3420369923
403	0.8412866204	0.3417324251
404	0.8412866204	0.3416932713
405	0.8411356086	0.3416538046
406	0.8409845968	0.3415838818
407	0.8411356086	0.3412646758
408	0.8412866204	0.3410876732
409	0.8417396557	0.3410159075
410	0.8418906675	0.3407761791
411	0.8412866204	0.3406606243
412	0.8418906675	0.3405132512
413	0.8418906675	0.3404718304
414	0.842192691	0.3402410402
415	0.8423437028	0.3400874546
416	0.8423437028	0.3397928833
417	0.8423437028	0.3397837888
418	0.8423437028	0.339699703
419	0.8424947146	0.3393388629
420	0.8429477499	0.3392179722
421	0.8430987617	0.3391070085
422	0.8429477499	0.3390047014
423	0.8429477499	0.3388573536
